k,feature_added,dj,init_mi
1,sbytes,,0.3668732081479156
2,dinpkt,0.09275595755024746,
3,proto_igmp,1.3855583347321954e-11,
4,proto_arp,4.476419235288631e-11,
5,is_sm_ips_ports,0.0,
6,state_RST,4.384048679639818e-11,
7,proto_aes-sp3-d,0.0,
8,proto_aris,0.0,
9,proto_br-sat-mon,0.0,
10,proto_dcn,0.0,
11,proto_eigrp,0.0,
12,proto_emcon,0.0,
13,proto_ggp,0.0,
14,proto_gmtp,0.0,
15,proto_ifmp,0.0,
16,proto_igp,0.0,
17,proto_il,0.0,
18,proto_ipcomp,0.0,
19,proto_ipip,0.0,
20,proto_ippc,0.0,
21,proto_ipv6,0.0,
22,proto_ipv6-frag,0.0,
23,proto_isis,0.0,
24,proto_iso-ip,0.0,
25,proto_nsfnet-igp,0.4980468677562371,
26,proto_leaf-1,0.0,
27,proto_mhrp,0.0,
28,proto_larp,1.226396761921933e-11,
29,proto_narp,0.0,
30,proto_nvp,0.0,
31,proto_pnni,0.0,
32,proto_rvd,0.0,
33,proto_sat-expak,0.0,
34,proto_scps,0.0,
35,proto_mfe-nsp,2.212630079156952e-11,
36,proto_snp,0.0,
37,proto_srp,0.0,
38,proto_tlsp,0.0,
39,proto_tp++,0.0,
40,proto_trunk-2,0.0,
41,proto_ttp,0.0,
42,proto_uti,0.0,
43,proto_vines,0.0,
44,proto_visa,0.0,
45,proto_vrrp,0.0,
46,proto_xnet,0.0,
47,proto_infrequent_sklearn,0.0,
48,service_irc,-2.2140511646284722e-11,
49,proto_ip,-2.1316282072803006e-12,
50,proto_i-nlsp,1.2221335055073723e-11,
51,proto_xns-idp,-2.2808421817899216e-11,
52,proto_egp,-2.3561597117804922e-11,
53,proto_pim,0.49803209033196083,
54,proto_sun-nd,-2.3931079340400174e-11,
55,proto_ipv6-no,1.0956568985420745e-11,
56,proto_cftp,-3.3864466786326375e-11,
57,proto_zero,-3.090860900556436e-11,
58,proto_prm,-2.5366375666635577e-11,
59,proto_idpr,-2.0548895918182097e-11,
60,proto_st2,-2.8350655156827997e-11,
61,proto_ipcv,-1.8985701899509877e-11,
62,proto_etherip,-2.5778490453376435e-11,
63,proto_skip,-3.150546490360284e-11,
64,proto_smp,-2.2183144210430328e-11,
65,proto_crtp,-4.0529357647756115e-11,
66,proto_sat-mon,-3.228706191293895e-11,
67,proto_ipv6-opts,-3.4717118069238495e-11,
68,proto_mux,-3.76090270037821e-11,
69,proto_cphb,-1.4779288903810084e-11,
70,proto_micp,-1.6228796084760688e-11,
71,proto_sprite-rpc,-1.3216094885137863e-11,
72,proto_a/n,-2.780353725029272e-11,
73,proto_crudp,-2.4584778657299466e-11,
74,proto_tcf,-2.893330020015128e-11,
75,proto_leaf-2,-2.12878603633726e-11,
76,proto_ptp,-2.6830093702301383e-11,
77,proto_iatp,-3.488764832582092e-11,
78,proto_iplt,-3.423394900892163e-11,
79,proto_bbn-rcc,-3.144151605738443e-11,
80,proto_3pc,-3.157651917717885e-11,
81,service_infrequent_sklearn,-4.1310954657092225e-11,
82,proto_argus,-2.9956481739645824e-11,
83,proto_ipv6-route,-2.8677504815277644e-11,
84,service_dhcp,-3.561240191629622e-11,
85,proto_sdrp,-3.4781066915456904e-11,
86,proto_dgp,-2.9331204132176936e-11,
87,proto_idrp,-4.530775754574279e-11,
88,state_infrequent_sklearn,-4.6142645260260906e-11,
89,proto_mtp,-4.5275783122633584e-11,
90,proto_ddp,-4.944666898154537e-11,
91,proto_qnx,-4.660449803850497e-11,
92,proto_pvp,-4.331468517193571e-11,
93,proto_ax.25,-4.568079248201684e-11,
94,proto_sps,-4.4224179873708636e-11,
95,proto_ib,-4.7766235411472735e-11,
96,proto_swipe,-4.6711079448868986e-11,
97,proto_kryptolan,-8.385825367440702e-11,
98,service_ftp,-5.777955891517195e-11,
99,proto_ipnip,-9.375611398354522e-11,
100,proto_pri-enc,-8.536460427421844e-11,
101,proto_pgm,-9.110578957916005e-11,
102,proto_wb-mon,-9.29532006921363e-11,
103,proto_sm,-1.0670930805645185e-10,
104,proto_trunk-1,-9.566036851538229e-11,
105,proto_sccopmce,-1.0486189694347559e-10,
106,proto_netblt,-9.597300731911673e-11,
107,proto_secure-vmtp,-9.399769851370365e-11,
108,proto_ddx,-9.024603286889032e-11,
109,proto_mobile,-9.28679355638451e-11,
110,proto_compaq-peer,-9.264766731575946e-11,
111,proto_xtp,-1.1452527814981295e-10,
112,proto_hmp,-1.0467715583217796e-10,
113,proto_sep,-1.056541520938481e-10,
114,proto_l2tp,-1.1364420515747042e-10,
115,proto_rdp,-1.0516032489249483e-10,
116,proto_cbt,-1.084856648958521e-10,
117,proto_pipe,-1.1932854704355123e-10,
118,service_snmp,-1.2320811038080137e-10,
119,proto_wsn,-1.9063861600443488e-10,
120,proto_fc,-1.4576784224118455e-10,
121,proto_bna,-1.722852971397515e-10,
122,proto_encap,-1.8783907762554009e-10,
123,proto_irtp,-1.929123527588672e-10,
124,proto_chaos,-1.9683454866026295e-10,
125,proto_idpr-cmtp,-1.921875991683919e-10,
126,proto_iso-tp4,-2.0304469217080623e-10,
127,proto_stp,-1.8266632650920656e-10,
128,proto_rsvp,-2.1717028175771702e-10,
129,proto_any,-1.850679609560757e-10,
130,proto_gre,0.498017766614975,
131,proto_ipx-n-ip,-2.206270721671899e-10,
132,proto_cpnx,-2.8408919661160326e-10,
133,proto_vmtp,-2.860005565707979e-10,
134,proto_merit-inp,-3.297735418072989e-10,
135,proto_pup,-3.4090419376298087e-10,
136,state_REQ,-2.8135005436524807e-10,
137,proto_fire,-3.3654856679277145e-10,
138,proto_wb-expak,-4.762874539210316e-10,
139,service_ssl,-6.498126481346844e-10,
140,proto_sctp,-2.8571491839102237e-09,
141,is_ftp_login,-2.972786461441501e-09,
142,ct_ftp_cmd,-3.299554407476535e-09,
143,synack,-7.127948009610918e-09,
144,proto_ospf,-9.199379036317623e-09,
145,service_pop3,-1.522227321970604e-08,
146,ackdat,-2.3962627437867923e-08,
147,service_smtp,-3.221909494754982e-08,
148,service_ssh,-4.603674597092322e-08,
149,tcprtt,-6.015842224371681e-08,
150,service_ftp-data,-6.801921870192018e-08,
151,service_dns,-6.909657379594591e-08,
152,proto_unas,-8.723647582087324e-08,
153,proto_udp,-2.9325677175506826e-07,
154,ct_flw_http_mthd,-4.403152633614127e-07,
155,trans_depth,-5.194221657234266e-07,
156,service_http,-8.326114748768987e-07,
157,service_-,-9.816779584781443e-07,
158,state_FIN,-1.1446415957294676e-06,
159,state_CON,-1.4769621330401606e-06,
160,proto_tcp,-2.215664014926233e-06,
161,state_INT,-5.40589679509651e-06,
162,ct_src_ltm,-7.401203285795077e-06,
163,ct_dst_ltm,-1.863775830379666e-05,
164,dur,-2.10775588520562e-05,
165,ct_srv_src,-3.4056918467584296e-05,
166,ct_dst_src_ltm,-4.635121204721315e-05,
167,ct_srv_dst,-4.6901957043488096e-05,
168,ct_state_ttl,-4.898825708288257e-05,
169,ct_dst_sport_ltm,-5.3013163466175683e-05,
170,ct_src_dport_ltm,-5.586542421731622e-05,
171,sloss,-0.00042001917666212307,
172,dloss,-0.00520119077324388,
173,spkts,-0.02614216747710607,
174,dpkts,-0.04156362743995068,
175,sinpkt,-0.04385986940415165,
176,smean,-0.07686316212743982,
177,swin,-0.130511360928951,
178,dwin,-0.0931106610667829,
179,dttl,-0.47683183885365743,
180,djit,-0.9813046287617748,
181,sttl,-1.0263699434878895,
182,dmean,-0.9684625644777434,
183,response_body_len,-46.612504462367745,
184,sjit,-181.97711021474657,
185,dbytes,-3680.7774706904147,
186,dtcpb,-7440.414079033309,
187,rate,-0.0021950820195204557,
188,dload,-2.311555861282555,
189,sload,-986.0071447090012,
190,stcpb,-983.046556720598,
